"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2026","10,773.47","10,775.55","10,823.21","10,772.92","93.32M","0.06%"
"07/26/2026","10,766.84","10,781.71","10,788.15","10,748.75","119.51M","-0.34%"
"07/23/2026","10,804.11","10,777.87","10,804.11","10,732.73","178.37M","0.27%"
"07/22/2026","10,775.46","10,706.50","10,775.46","10,705.81","167.90M","0.72%"
"07/21/2026","10,698.81","10,746.32","10,748.82","10,675.63","200.57M","-0.40%"
"07/20/2026","10,741.99","10,717.22","10,754.00","10,706.63","239.72M","0.23%"
"07/19/2026","10,716.82","10,713.97","10,732.75","10,652.41","130.92M","-0.03%"
"07/16/2026","10,720.28","10,714.93","10,733.28","10,693.82","163.73M","0.15%"
"07/15/2026","10,704.51","10,725.30","10,761.79","10,694.62","205.79M","-0.10%"
"07/14/2026","10,715.61","10,806.36","10,813.85","10,703.09","259.55M","-0.80%"
"07/13/2026","10,801.71","10,825.89","10,870.45","10,794.95","201.20M","-0.16%"
"07/12/2026","10,818.98","10,811.50","10,838.51","10,796.70","126.44M","0.10%"
"07/09/2026","10,808.43","10,853.20","10,854.05","10,788.76","181.89M","-0.42%"
"07/08/2026","10,853.73","10,842.40","10,854.92","10,813.89","228.06M","0.01%"
"07/07/2026","10,852.41","10,817.49","10,852.41","10,788.08","219.52M","0.36%"
"07/06/2026","10,813.04","10,804.58","10,839.89","10,793.41","244.71M","0.13%"
"07/05/2026","10,798.97","10,830.93","10,837.64","10,775.19","198.13M","-0.26%"
"07/02/2026","10,826.98","10,858.47","10,868.11","10,826.98","261.83M","-0.28%"
"07/01/2026","10,856.90","10,804.90","10,879.82","10,804.89","294.13M","0.53%"
"06/30/2026","10,799.92","10,791.99","10,819.47","10,756.51","305.09M","0.07%"
"06/29/2026","10,792.15","10,905.52","10,918.38","10,785.08","246.68M","-1.06%"
"06/28/2026","10,907.67","10,936.34","10,951.01","10,877.35","145.67M","-0.23%"
"06/25/2026","10,933.23","10,987.19","10,994.78","10,933.23","207.57M","-0.67%"
"06/24/2026","11,006.80","11,016.54","11,072.20","11,006.80","241.85M","-0.25%"
"06/23/2026","11,033.99","11,067.10","11,074.18","11,022.68","201.81M","-0.35%"
"06/22/2026","11,072.40","11,082.90","11,084.31","11,052.74","179.89M","-0.04%"
"06/21/2026","11,076.67","11,109.06","11,128.22","11,067.41","166.83M","-0.40%"
"06/18/2026","11,121.13","11,117.12","11,136.26","11,099.80","275.07M","0.06%"
"06/17/2026","11,114.90","11,123.12","11,148.48","11,093.58","181.21M","-0.27%"
"06/16/2026","11,145.55","11,106.77","11,172.15","11,101.35","235.36M","0.45%"
"06/15/2026","11,095.86","11,156.38","11,159.46","11,091.01","307.15M","-0.08%"
"06/14/2026","11,104.42","11,090.61","11,137.49","11,085.62","202.95M","0.57%"
"06/11/2026","11,042.02","11,009.41","11,042.02","10,995.98","214.08M","0.27%"
"06/10/2026","11,012.64","11,115.48","11,115.71","11,008.20","237.69M","-0.92%"
"06/09/2026","11,115.37","10,985.35","11,115.37","10,982.07","315.72M","1.30%"
"06/08/2026","10,973.08","10,892.44","10,982.03","10,879.94","268.92M","0.41%"
"06/07/2026","10,928.79","10,948.32","10,957.35","10,907.90","185.98M","-0.56%"
